player_id,signup_date,country,device,deposit_channel,segment,vip_eligible,age_group
1,2023-02-27,LT,mobile,ewallet,Champions,True,36-45
2,2024-05-10,PL,mobile,crypto,Champions,True,36-45
3,2024-04-04,UA,mobile,bank_transfer,Champions,True,26-35
4,2024-05-18,LV,desktop,bank_transfer,Champions,True,36-45
5,2023-12-16,SK,mobile,bank_transfer,Champions,True,18-25
6,2023-10-11,CZ,desktop,bank_transfer,Champions,True,36-45
7,2024-03-24,CZ,tablet,ewallet,Champions,True,36-45
8,2023-08-15,DE,mobile,bank_transfer,Champions,True,18-25
9,2023-12-16,LV,desktop,ewallet,Champions,True,46+
10,2023-04-09,PL,mobile,card,Champions,True,26-35
11,2024-05-24,LT,mobile,bank_transfer,Champions,True,26-35
12,2023-05-02,LV,desktop,card,Champions,True,36-45
13,2024-02-08,IE,mobile,ewallet,Champions,True,36-45
14,2024-03-24,HR,mobile,card,Champions,True,36-45
15,2024-02-12,PL,mobile,card,Champions,True,36-45
16,2023-03-31,EE,desktop,ewallet,Champions,True,36-45
17,2023-12-22,BG,desktop,card,Champions,True,18-25
18,2023-10-21,UA,desktop,bank_transfer,Champions,True,26-35
19,2023-02-20,UA,desktop,bank_transfer,Champions,True,26-35
20,2024-05-04,PL,mobile,card,Champions,True,26-35
21,2024-09-20,CZ,mobile,ewallet,Champions,True,26-35
22,2023-05-18,CZ,mobile,card,Champions,True,26-35
23,2023-10-05,HR,desktop,ewallet,Champions,True,36-45
24,2024-02-28,EE,mobile,ewallet,Champions,True,18-25
25,2023-08-02,UA,mobile,ewallet,Champions,True,26-35
26,2023-01-15,HR,mobile,bank_transfer,Champions,True,18-25
27,2023-11-15,CZ,mobile,card,Champions,True,26-35
28,2024-03-21,LV,desktop,card,Champions,True,18-25
29,2023-08-08,LT,tablet,crypto,Champions,True,36-45
30,2023-03-17,LV,mobile,crypto,Champions,True,36-45
31,2023-06-17,HR,mobile,card,Champions,True,18-25
32,2024-04-03,BG,desktop,bank_transfer,Champions,True,18-25
33,2024-04-06,CZ,desktop,card,Champions,True,46+
34,2023-07-15,HU,desktop,ewallet,Champions,True,26-35
35,2023-07-17,EE,desktop,bank_transfer,Champions,True,18-25
36,2024-02-06,SK,mobile,card,Champions,True,26-35
37,2023-05-01,MT,mobile,card,Champions,True,26-35
38,2023-07-31,CY,mobile,crypto,Champions,True,26-35
39,2023-10-14,UA,desktop,card,Champions,True,46+
40,2023-08-10,MT,mobile,ewallet,Champions,True,18-25
41,2023-06-26,MT,mobile,crypto,Champions,True,26-35
42,2023-11-08,DE,mobile,card,Champions,True,26-35
43,2023-12-15,LV,mobile,card,Champions,True,36-45
44,2023-11-30,BG,desktop,card,Champions,True,26-35
45,2023-07-22,RO,desktop,card,Champions,True,36-45
46,2023-03-11,SK,desktop,ewallet,Champions,True,18-25
47,2024-01-29,DE,mobile,card,Champions,True,26-35
48,2024-08-09,CZ,mobile,ewallet,Champions,True,36-45
49,2024-09-08,MT,tablet,card,Champions,True,26-35
50,2023-07-22,RO,mobile,crypto,Champions,True,18-25
51,2023-12-08,PL,mobile,crypto,Champions,True,46+
52,2023-01-29,PL,desktop,ewallet,Champions,True,46+
53,2023-03-16,BG,mobile,ewallet,Champions,True,36-45
54,2023-11-29,PL,mobile,card,Champions,True,36-45
55,2023-09-01,RO,tablet,card,Champions,True,18-25
56,2023-06-17,CY,desktop,card,Champions,True,18-25
57,2023-08-24,RO,desktop,card,Champions,True,26-35
58,2024-01-19,EE,desktop,crypto,Champions,True,26-35
59,2023-10-05,SK,mobile,card,Champions,True,18-25
60,2023-04-03,MT,desktop,card,Champions,True,26-35
61,2024-08-16,UA,desktop,card,Champions,True,36-45
62,2024-03-20,LV,desktop,ewallet,Champions,True,18-25
